id,source
Account-AboutApp,About OpenApply
Account-Application,Application
Account-Discover,Discover
Account-Language,Language
Account-Lock-Description,Auto-lock the app after 2 minutes and unlock it with TouchID, FaceID or passcode.
Account-Lock-Title,Auto-Lock
Account-LogOut,Log Out
Account-Push-DisAbleDescription,Push notifications have been disabled for all devices.
Account-Push-Disable,Disable Device Push Notifications
Account-Push-Enable,Enable Device Push Notifications
Account-Push-Help,Help & Support
Account-RateApp,Rate the OpenApply App
Account-Request,Submit Support Request
Account-System,System
Account-Title,Account
Account-Version,Version
App_Update_Use,recently used
App_Version_Already-New,OpenApply is up to date
App_Version_Cancel_Update,Not Now
App_Version_Go_Update,Update
App_Version_Go_Update_Available,An update to OpenApply is available. Would you like to update?
App_Version_Go_Update_Required,An update to OpenApply is required to continue.
App_Version_Updated_Available,Update Available
App_Version_Updated_Required,Update Required
Applicant-Checklist-Hide,Hide Completed
Applicant-Checklist-Nohide-Remind,No pending items
Applicant-Checklist-ResendEmail,Resend via E-mail
Applicant-Checklist-Show,Show Completed
Applicant-Checklist-UploadFile,Upload Files
Applicant-Family-Information,Family Information
Applicant-Files,Files
Applicant-Profile,Profile
Applicant-Title,Applicant Profile
Application-Button-ExportPDF,Export PDF
Application-Button-ReViewForm,Review Form
Application-Button-ResendEmail,Resend Email
Application-Button-UploadFile,Upload File
Apply-Status-Exist,Apply with an existing child
Apply-Status-New,Apply with new child
Auth-Camara-Message,OpenApply needs your permission to access the camera
Auth-Camara-Title,OpenApply needs access to your camera
Auth-Go-Cancel,Not allowed
Auth-Go-Open,Go to settings to enable
Auth-Photo-Message,OpenApply needs your permission to access the gallery
Auth-Photo-Title,OpenApply needs access to your gallery
Calender-Auth-Description,Allow access to your calendar to add event reminders.
Calender-Auth-Title,Allow 'OpenApply' to access your calendar？
Camera-Not-Auth,Camera permissions are not enabled.
Camera-NotAuth-Description,Please go to [Settings-Privacy-camera] to enable the camera permission.
CheckList-Item-Action-Done,Make as Completed
CheckList-Item-Action-Due,Due
Common-About,About
Common-And,and
Common-Attach-Camera,Take a Photo
Common-Attach-File,Attach File
Common-Attach-Image,Insert from Photo Gallery
Common-Attach-Video,Choose Video
Common-Cancel,Cancel
Common-Date,Date
Common-Done,Done
Common-Filter,Filter
Common-Log-Out,Are you sure you want to log out?
Common-Reset,Reset
Common-Search,Search
Common-Security,Security & Legal Notice
Common-Select,Select
Common-Select-Date,Please select a date
Common-Sure,OK
Common-Type,Type
Day-AM,AM
Day-At,at
Day-Friday,Friday
Day-Monday,Monday
Day-PM,PM
Day-Saturday,Saturday
Day-Sunday,Sunday
Day-Thursday,Thursday
Day-Today,Today
Day-Today-At,Today at
