Key,English (en),English GB (en-GB),English US (en-US),German (de),Spanish (es),Arabic (ar),Chinese Simplified (zh-Hans),Chinese Traditional (zh-Hant),Japanese (ja)
Account-AboutApp,About OpenApply,About OpenApply,About OpenApply,Über OpenApply,Acerca de OpenApply,About OpenApply,关于OpenApply,關於 OpenApply,OpenApplyについて
Account-Application,Application,Application,Application,Anwendung,Solicitud,Application,支持,支援,アプリケーション
Account-Discover,Discover,Discover,Discover,Entdecken,Descubrir,Discover,发现,發現,発見
Account-Language,Language,Language,Language,Sprache,Idioma,Language,语言,語言,言語
Account-Lock-Description,"Auto-lock the app after 2 minutes and unlock it with TouchID, FaceID or passcode.","Auto-lock the app after 2 minutes and unlock it with TouchID, FaceID or passcode.","Auto-lock the app after 2 minutes and unlock it with TouchID, FaceID or passcode.","Die App nach 2 Minuten automatisch sperren und mit TouchID, FaceID oder Passcode entsperren.","Bloquee automáticamente la aplicación después de 2 minutos y desbloquéela mediante el reconocimiento de huellas dactilares, la detección facial o código de acceso.","Auto-lock the app after 2 minutes and unlock it with TouchID, FaceID or passcode.",如开启，程序进入后台超过两分钟将自动锁定，您可以使用FaceID和密码来解锁。,開啟後，如果應用程式在背景待命超過兩分鐘將自動鎖定，您可以使用 FaceID 和密碼再次解除鎖定。,2分後にアプリを自動ロックし、TouchID、FaceID、またはパスコードでロック解除します。
Account-Lock-Title,Auto-Lock,Auto-Lock,Auto-Lock,Auto-Sperre,Bloqueo automático,Auto-Lock,自动锁屏,自動鎖定螢幕,自動ロック
Account-LogOut,Log Out,Log Out,Log Out,Abmelden,Cerrar sesión,Log Out,退出登录,登出,ログアウト
Account-Push-DisAbleDescription,Push notifications have been disabled for all devices.,Push notifications have been disabled for all devices.,Push notifications have been disabled for all devices.,Push-Benachrichtigungen wurden für alle Geräte deaktiviert,Se han desactivado las notificaciones automáticas en todos los dispositivos.,Push notifications have been disabled for all devices.,消息推送已对所有设备关闭,通知推播已對所有裝置關閉,プッシュ通知はすべてのデバイスで無効になっています。
Account-Push-Disable,Disable Device Push Notifications,Disable Device Push Notifications,Disable Device Push Notifications,Push-Benachrichtigungen für Geräte deaktivieren,Desactivar las notificaciones automáticas en el dispositivo,Disable Device Push Notifications,关闭消息推送,關閉通知推播,デバイスプッシュ通知を無効にする
Account-Push-Enable,Enable Device Push Notifications,Enable Device Push Notifications,Enable Device Push Notifications,Push-Benachrichtigungen für Geräte aktivieren,Activar las notificaciones automáticas en el dispositivo,Enable Device Push Notifications,开启消息推送,開啟通知推播,デバイスプッシュ通知を有効にする
Account-Push-Help,Help & Support,Help & Support,Help & Support,Hilfe und Support,Ayuda y soporte,Help & Support,帮助与支持,幫助與支援,ヘルプとサポート
Account-RateApp,Rate the OpenApply App,Rate the OpenApply App,Rate the OpenApply App,Bewerten Sie die OpenApply App,Valorar la aplicación OpenApply,Rate the OpenApply App,评分,評分,OpenApplyアプリを評価
Account-Request,Submit Support Request,Submit Support Request,Submit Support Request,Support-Anfrage einreichen,Enviar solicitud de soporte,Submit Support Request,提交支持请求,提交客服案件,サポートリクエストを送信
Account-System,System,System,System,System,Sistema,System,系统,系統,システム
Account-Title,Account,Account,Account,Benutzerkonto,Cuenta,Account,账户,賬號,アカウント
Account-Version,Version,Version,Version,Version,Versión,Version,版本,版本,バージョン
App_Update_Use,recently used,recently used,recently used,kürzlich verwendet,Recientemente usado,recently used,最近使用,最近使用,最近使用した
App_Version_Already-New,OpenApply is up to date,OpenApply is up to date,OpenApply is up to date,OpenApply ist auf dem neuesten Stand,OpenApply está actualizado,OpenApply is up to date,OpenApply 已经是最新的版本,OpenApply 已經是最新的版本,OpenApplyは最新です
App_Version_Cancel_Update,Not Now,Not Now,Not Now,Nicht jetzt,Ahora No,Not Now,取消,取消,後で
App_Version_Go_Update,Update,Update,Update,Aktualisieren,Actualizar,Update,立即更新,立即更新,更新
App_Version_Go_Update_Available,An update to OpenApply is available. Would you like to update?,An update to OpenApply is available. Would you like to update?,An update to OpenApply is available. Would you like to update?,Ein Update für OpenApply ist verfügbar.Möchten Sie aktualisieren?,Está disponible una actualización de OpenApply.¿Desea actualizarlo?,An update to OpenApply is available. Would you like to update?,新版本的 OpenApply 现已上架，是否前往更新？,新版本的 OpenApply 現已上架，是否前往更新？,OpenApplyの更新が利用可能です。更新しますか？
